"~start_node_id","~start_node_labels","~start_node_property_agent_type","~start_node_property_id","~start_node_property_layer","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_action_name","~end_node_property_id","~end_node_property_layer","~start_node_property_action_name","~end_node_property_object_name","~end_node_property_utterance"
"0","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","4","Action","Pickup","Action_1","Action_Level",,,
"0","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","5","Action","Forward","Action_2","Action_Level",,,
"0","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","9","Action","Move","Action_1","Action_Level",,,
"0","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","10","Action","Rotate","Action_2","Action_Level",,,
"0","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","35","Action","Pickup","Action_1","Action_Level",,,
"0","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","36","Action","Forward","Action_2","Action_Level",,,
"0","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","40","Action","Move","Action_1","Action_Level",,,
"0","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","41","Action","Rotate","Action_2","Action_Level",,,
"2","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","4","Action","Pickup","Action_1","Action_Level",,,
"2","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","5","Action","Forward","Action_2","Action_Level",,,
"2","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","9","Action","Move","Action_1","Action_Level",,,
"2","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","10","Action","Rotate","Action_2","Action_Level",,,
"2","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","35","Action","Pickup","Action_1","Action_Level",,,
"2","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","36","Action","Forward","Action_2","Action_Level",,,
"2","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","40","Action","Move","Action_1","Action_Level",,,
"2","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","41","Action","Rotate","Action_2","Action_Level",,,
"31","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","4","Action","Pickup","Action_1","Action_Level",,,
"31","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","5","Action","Forward","Action_2","Action_Level",,,
"31","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","9","Action","Move","Action_1","Action_Level",,,
"31","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","10","Action","Rotate","Action_2","Action_Level",,,
"31","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","35","Action","Pickup","Action_1","Action_Level",,,
"31","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","36","Action","Forward","Action_2","Action_Level",,,
"31","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","40","Action","Move","Action_1","Action_Level",,,
"31","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","41","Action","Rotate","Action_2","Action_Level",,,
"33","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","4","Action","Pickup","Action_1","Action_Level",,,
"33","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","5","Action","Forward","Action_2","Action_Level",,,
"33","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","9","Action","Move","Action_1","Action_Level",,,
"33","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","10","Action","Rotate","Action_2","Action_Level",,,
