source,target,relation
Agent_0,Dialogue_1,Communicates
Agent_0,Subgoal_1,Achieves
Dialogue_1,Subgoal_1,Instructs
Agent_1,Action_1,Performs
Agent_1,Action_2,Performs
Agent_1,Action_3,Performs
Agent_1,Action_4,Performs
Agent_1,Action_5,Performs
Agent_1,Position_2,Located_At
Agent_1,Position_3,Located_At
Agent_1,Position_4,Located_At
Agent_1,Position_5,Located_At
Agent_1,Position_6,Located_At
Agent_1,Position_7,Located_At
Agent_1,Position_8,Located_At
Agent_1,Position_9,Located_At
Action_1,Object_1,Involves_Object
Object_1,Position_1,Located_At
Interaction_1,Agent_1,Involves_Agent
Interaction_1,Object_1,Involves_Object
ImageFrame_1,Interaction_1,Captured_At
Agent_1,Action_1,Performs
Agent_1,Action_2,Performs
Agent_0,Action_3,Performs
Agent_1,Action_4,Performs
Agent_1,Subgoal_1,Achieves
Agent_1,Subgoal_2,Achieves
Agent_1,Subgoal_3,Achieves
Agent_1,Subgoal_4,Achieves
Agent_0,Dialogue_1,Communicates
Agent_1,Position_1,Located_At
Agent_1,Position_2,Located_At
Agent_1,Position_3,Located_At
Agent_1,Position_4,Located_At
Agent_1,Position_5,Located_At
Agent_1,Position_6,Located_At
Agent_1,Position_7,Located_At
Agent_1,Position_8,Located_At
Agent_1,Position_9,Located_At
Action_4,Object_1,Involves_Object
Action_3,Object_1,Involves_Object
Dialogue_1,Subgoal_2,Instructs
Object_2,Object_4,Contains
Object_2,Object_9,Contains
Object_1,Position_11,Located_At
Interaction_1,Agent_1,Involves_Agent
Interaction_1,Object_1,Involves_Object
ImageFrame_1,Interaction_1,Captured_At
